step,training loss,testing acc
0,2.3035922,0.1029
50,1.912757,0.3508
100,1.6034501,0.4191
150,1.4241034,0.4682
200,1.3090751,0.5105
250,1.2081282,0.538
300,1.3009077,0.5329
350,1.1802279,0.5692
0,1.1550285,0.5824
50,1.0979161,0.6052
100,1.0333004,0.626
150,1.1851552,0.6179
200,0.98281795,0.6539
250,1.2217582,0.6622
300,1.0609407,0.6578
350,0.89486396,0.6669
0,0.76319754,0.6828
50,0.9312044,0.6691
100,0.72480154,0.7015
150,0.90054095,0.7018
200,0.89042246,0.6956
250,0.6800908,0.7096
300,0.80451715,0.6805
350,0.7512299,0.7028
0,0.78831303,0.702
50,0.64936364,0.7011
100,0.681946,0.6924
150,0.67649364,0.7075
200,0.69562596,0.719
250,0.6768515,0.7128
300,0.7100426,0.7066
350,0.66272,0.7295
0,0.6048436,0.7234
50,0.7173949,0.7254
100,0.6059573,0.7315
150,0.6717875,0.7301
200,0.71369135,0.736
250,0.64944816,0.7381
300,0.7719443,0.7263
350,0.73403007,0.7371
0,0.47238216,0.7296
50,0.57642746,0.735
100,0.5721148,0.7231
150,0.5108894,0.7346
200,0.6777575,0.7299
250,0.65243584,0.7304
300,0.6668651,0.7178
350,0.5930552,0.7301
