step,training loss,testing acc
0,2.3040311,0.1381
50,0.19504224,0.9273
100,0.13869649,0.9632
150,0.033413716,0.974
200,0.24369715,0.974
250,0.10476815,0.9802
300,0.037888303,0.9767
350,0.10337131,0.9825
400,0.055465292,0.9858
450,0.106142044,0.985
0,0.01368203,0.9868
50,0.06808411,0.9889
100,0.022739127,0.9875
150,0.063133165,0.9859
200,0.03459414,0.9897
250,0.04653289,0.9905
300,0.09873569,0.9863
350,0.03961355,0.9903
400,0.011716511,0.9893
450,0.019166104,0.9896
0,0.026496958,0.9902
50,0.0024747588,0.9906
100,0.06411952,0.9901
150,0.023835842,0.9893
200,0.046188004,0.9897
250,0.06897664,0.99
300,0.06453935,0.9918
350,0.06969465,0.9913
400,0.027248591,0.9905
450,0.07363531,0.9883
0,0.018056683,0.99
50,0.015311923,0.9913
100,0.0032951832,0.9917
150,0.008505035,0.9911
200,0.017636662,0.9915
250,0.031731904,0.9909
300,0.0136893615,0.9911
350,0.016017303,0.9906
400,0.009251282,0.9916
450,0.017822165,0.9919
0,0.0042396933,0.9896
50,0.03444916,0.9906
100,0.15115106,0.9913
150,0.021850925,0.9925
200,0.015660495,0.9923
250,0.012685612,0.9912
300,0.0055752173,0.9913
350,0.011199392,0.9917
400,0.045941975,0.993
450,0.041278776,0.991
0,0.0051145703,0.9912
50,0.0048007965,0.9911
100,0.009087618,0.992
150,0.018005602,0.9914
200,0.021159444,0.9918
250,0.0115397535,0.9898
300,0.0054049157,0.9899
350,0.012323309,0.9918
400,0.04953466,0.9917
450,0.0034315065,0.9923
