step,training loss,testing acc
0,2.3041694,0.0966
50,1.8642193,0.3245
100,1.6097419,0.3925
150,1.5289989,0.4487
200,1.3346875,0.515
250,1.2503104,0.5424
300,1.2525038,0.566
350,1.1236892,0.5901
0,0.9572987,0.5892
50,0.9649175,0.5985
100,0.969259,0.631
150,1.0196128,0.6215
200,0.85041356,0.6426
250,0.940509,0.6467
300,0.94770557,0.6564
350,0.7169709,0.6734
0,0.76258326,0.6849
50,1.0505404,0.6824
100,0.8205497,0.6912
150,0.8869746,0.6825
200,0.82783824,0.7057
250,1.1534805,0.692
300,0.6992041,0.7021
350,0.6656827,0.7003
0,0.7708029,0.7048
50,0.7887896,0.706
100,0.78814787,0.7082
150,0.7251459,0.7201
200,0.8043407,0.7109
250,0.8745217,0.7213
300,0.66119957,0.7077
350,0.5510647,0.7188
0,0.7279398,0.7161
50,0.5004205,0.7139
100,0.6571879,0.7182
150,0.6113594,0.7208
200,0.8249521,0.7273
250,0.81845266,0.7286
300,0.58741754,0.7318
350,0.7420362,0.7302
0,0.5982904,0.7195
50,0.6426878,0.728
100,0.71508986,0.7343
150,0.6416306,0.7362
200,0.6911994,0.7317
250,0.6534512,0.7285
300,0.608361,0.7338
350,0.60550654,0.7394
