step,training loss,testing acc
0,2.3537421,0.1161
50,0.16498867,0.9383
100,0.1925424,0.9597
150,0.13704254,0.9696
200,0.112958595,0.9727
250,0.112217344,0.9777
300,0.028203038,0.9817
350,0.061024945,0.982
400,0.11038607,0.9804
450,0.04183143,0.984
0,0.03807963,0.9839
50,0.014095519,0.9837
100,0.014793467,0.9846
150,0.09943766,0.9866
200,0.026813015,0.9876
250,0.058921605,0.9886
300,0.008351389,0.9884
350,0.030718535,0.9873
400,0.04703784,0.9894
450,0.14089806,0.9874
0,0.007609263,0.9893
50,0.017897405,0.9909
100,0.0077771507,0.99
150,0.025936596,0.99
200,0.028632466,0.9872
250,0.034293402,0.9915
300,0.04031707,0.9895
350,0.009211104,0.9886
400,0.063737296,0.9879
450,0.047986597,0.9917
0,0.009065449,0.9889
50,0.022606373,0.9914
100,0.010757633,0.9921
150,0.010255791,0.9917
200,0.011826813,0.9894
250,0.009160187,0.9909
300,0.046405546,0.9928
350,0.032448605,0.9917
400,0.027968768,0.9913
450,0.01356094,0.9908
0,0.0036104396,0.992
50,0.012848988,0.9916
100,0.0094025135,0.9926
150,0.002430208,0.993
200,0.013278779,0.9917
250,0.052247487,0.9912
300,0.003215719,0.9917
350,0.00487661,0.991
400,0.007001832,0.9905
450,0.01493638,0.9917
0,0.017062817,0.9917
50,0.0026887394,0.9912
100,0.018201023,0.9925
150,0.002746813,0.9911
200,0.07261553,0.9925
250,0.01018247,0.9905
300,0.02964025,0.9917
350,0.0054038763,0.992
400,0.022321109,0.9916
450,0.004023686,0.9908
