step,training loss,testing acc
0,2.3036928,0.1003
50,2.0830383,0.2882
100,1.5911908,0.402
150,1.4743115,0.4401
200,1.3641156,0.487
250,1.6299127,0.4965
300,1.325336,0.563
350,1.2759145,0.551
0,1.1293246,0.589
50,1.1178666,0.6077
100,1.2259549,0.6061
150,0.78801525,0.5998
200,1.1600512,0.624
250,1.1693128,0.6519
300,0.9149219,0.6465
350,1.0833647,0.6473
0,0.9299379,0.6628
50,0.70038927,0.6702
100,0.8339415,0.6758
150,0.7790705,0.6794
200,1.1732721,0.6749
250,0.7658293,0.6926
300,0.8041875,0.6805
350,0.633883,0.707
0,0.62822336,0.6964
50,0.7540997,0.7173
100,0.84387904,0.7025
150,0.7777762,0.7076
200,0.7682846,0.7097
250,0.6721466,0.7182
300,0.86426574,0.7085
350,0.79350644,0.7206
0,0.6084137,0.7106
50,0.7077999,0.7154
100,0.7275138,0.7217
150,0.76244086,0.6999
200,0.7672186,0.7179
250,0.7881697,0.7059
300,0.6966995,0.7278
350,0.66652405,0.7122
0,0.7357334,0.7159
50,0.7442966,0.7213
100,0.59089744,0.7332
150,0.60355276,0.7119
200,0.6396111,0.7181
250,0.6795587,0.7321
300,0.44421953,0.7328
350,0.7238974,0.731
