step,training loss,testing acc
0,2.319239,0.0875
50,0.57361966,0.8191
100,0.16429242,0.9472
150,0.13582996,0.9659
200,0.058997907,0.9734
250,0.09365511,0.9749
300,0.12719741,0.9791
350,0.05520563,0.9798
400,0.0740695,0.9809
450,0.032992374,0.979
0,0.07270153,0.9831
50,0.0351934,0.9846
100,0.051068652,0.9829
150,0.06897302,0.9853
200,0.078409016,0.9845
250,0.0040435344,0.9862
300,0.009297539,0.9851
350,0.015304863,0.9869
400,0.038885877,0.987
450,0.013544992,0.9854
0,0.062915385,0.9881
50,0.04819467,0.9883
100,0.04315378,0.9875
150,0.014459129,0.9897
200,0.026150621,0.9866
250,0.06566534,0.9881
300,0.018150643,0.9864
350,0.015373796,0.9903
400,0.027016997,0.9895
450,0.08394119,0.9884
0,0.014894664,0.9892
50,0.029094625,0.9906
100,0.013153415,0.9908
150,0.01651859,0.9896
200,0.017804116,0.99
250,0.03408052,0.9897
300,0.049848903,0.9904
350,0.047695998,0.9901
400,0.08256172,0.9908
450,0.024000037,0.9913
0,0.01922902,0.9902
50,0.038633075,0.9908
100,0.050816614,0.9912
150,0.027581517,0.992
200,0.033953447,0.9911
250,0.030832909,0.9914
300,0.046706963,0.9885
350,0.07855826,0.9916
400,0.012536697,0.9904
450,0.010714993,0.9911
0,0.0069123656,0.9915
50,0.025527004,0.9911
100,0.030568913,0.9908
150,0.0427861,0.9919
200,0.030055758,0.9928
250,0.058621828,0.9912
300,0.010986485,0.9921
350,0.008237869,0.9916
400,0.019767847,0.9909
450,0.012752112,0.9908
