step,training loss,testing acc
0,2.303189,0.1163
50,1.9236324,0.3409
100,1.6719062,0.4378
150,1.4426038,0.4418
200,1.4548534,0.509
250,1.3610649,0.5415
300,1.1784981,0.569
350,1.1942455,0.5917
0,0.9556678,0.5963
50,1.0494306,0.624
100,0.9571522,0.6445
150,0.9488205,0.6581
200,0.9412906,0.659
250,0.9996718,0.6802
300,0.84938884,0.6833
350,0.8764217,0.6739
0,1.0126203,0.6878
50,0.86449444,0.6894
100,0.6995629,0.7025
150,0.8340202,0.6985
200,0.82415056,0.71
250,0.5826553,0.7034
300,0.9475462,0.7075
350,0.81619936,0.7174
0,0.86332196,0.7133
50,0.6515324,0.7174
100,0.72770655,0.7214
150,0.7429383,0.7238
200,0.7062454,0.7226
250,0.9091843,0.7277
300,0.7720617,0.7221
350,0.6209069,0.7357
0,0.61074615,0.7306
50,0.67057776,0.7285
100,0.5953616,0.7313
150,0.81508344,0.7408
200,0.6080082,0.73
250,0.51592153,0.7272
300,0.64019495,0.7412
350,0.8908913,0.7352
0,0.5879886,0.7424
50,0.5554336,0.7308
100,0.57436115,0.7426
150,0.5264803,0.7303
200,0.7202152,0.7351
250,0.80241793,0.7191
300,0.6704214,0.7417
350,0.6517376,0.7462
