step,training loss,testing acc
0,2.3062887,0.0445
50,0.25649703,0.938
100,0.1830833,0.9653
150,0.16335857,0.9725
200,0.11643066,0.9771
250,0.033323035,0.9829
300,0.061373632,0.9827
350,0.110577255,0.9854
400,0.051904414,0.9805
450,0.10240089,0.9858
0,0.051413495,0.9768
50,0.0055964366,0.9859
100,0.02395736,0.9847
150,0.034010634,0.9866
200,0.041257836,0.9876
250,0.093108885,0.9899
300,0.019594457,0.9884
350,0.025139168,0.9878
400,0.025065403,0.9872
450,0.009294581,0.9886
0,0.011453606,0.9912
50,0.04439608,0.9888
100,0.031473577,0.9911
150,0.0045578815,0.9899
200,0.013667002,0.9893
250,0.036656983,0.9918
300,0.019437827,0.991
350,0.014378104,0.9908
400,0.01615246,0.9916
450,0.039009634,0.992
0,0.011419715,0.9904
50,0.0025301203,0.9895
100,0.012597464,0.9915
150,0.013136655,0.9901
200,0.024336223,0.99
250,0.0014874265,0.9903
300,0.0017133355,0.9891
350,0.029623993,0.9911
400,0.010636862,0.9916
450,0.09605172,0.9907
0,0.006933801,0.9918
50,0.0156832,0.9926
100,0.012563903,0.9904
150,0.021971576,0.9907
200,0.029294306,0.9903
250,0.04107714,0.9922
300,0.057594176,0.9919
350,0.060974535,0.991
400,0.014849199,0.9905
450,0.027903277,0.991
0,0.013295844,0.9928
50,0.0021841861,0.9923
100,0.012152847,0.9914
150,0.006046254,0.992
200,0.0049604177,0.9921
250,0.0068026558,0.9918
300,0.0028354675,0.992
350,0.007763736,0.9923
400,0.027062707,0.9897
450,0.0033406317,0.9914
