step,training loss,testing acc
0,2.301092,0.0942
50,1.8702255,0.3178
100,1.6793456,0.4141
150,1.574866,0.4577
200,1.3819466,0.4893
250,1.3267646,0.4917
300,1.1898054,0.5347
350,1.2475872,0.5594
0,1.1659902,0.5707
50,1.0231485,0.6002
100,1.0298456,0.5947
150,1.0694795,0.6254
200,1.0147135,0.6293
250,0.8509959,0.6516
300,0.87489486,0.6405
350,0.9554874,0.6274
0,1.0633662,0.6458
50,0.91587615,0.6773
100,0.8803597,0.6621
150,0.98133504,0.6838
200,0.7734946,0.675
250,0.80535454,0.6747
300,0.9763828,0.6954
350,0.7979854,0.6851
0,0.7093902,0.6967
50,0.81040764,0.7008
100,0.6699448,0.7069
150,0.83951706,0.6991
200,1.0021522,0.6981
250,0.8948881,0.6994
300,0.59121174,0.7091
350,0.75661963,0.7104
0,0.7786225,0.7005
50,0.63990134,0.7122
100,0.72854894,0.6979
150,0.6667574,0.7084
200,0.6901949,0.7081
250,0.85317004,0.705
300,0.722059,0.6982
350,0.6738617,0.7278
0,0.5269538,0.7167
50,0.5256787,0.7198
100,0.54500556,0.7124
150,0.73924255,0.7217
200,0.7249392,0.7059
250,0.76472,0.7111
300,0.7128768,0.7223
350,0.7451997,0.7124
