step,training loss,testing acc
0,2.3081946,0.1463
50,0.5512852,0.9068
100,0.12200779,0.9603
150,0.10110773,0.9673
200,0.07108671,0.969
250,0.08821501,0.9781
300,0.18800846,0.9738
350,0.06059509,0.9806
400,0.089698605,0.9771
450,0.009437576,0.9839
0,0.07700192,0.984
50,0.010005977,0.9876
100,0.03973643,0.9839
150,0.016375195,0.9874
200,0.020381197,0.987
250,0.05629188,0.9859
300,0.01203711,0.9901
350,0.055969603,0.9825
400,0.036824364,0.9892
450,0.09756052,0.9873
0,0.032422308,0.988
50,0.0114644505,0.9874
100,0.016647656,0.9892
150,0.028954718,0.9899
200,0.059116174,0.9899
250,0.008536875,0.988
300,0.0021421239,0.9882
350,0.03152314,0.9876
400,0.015215892,0.9895
450,0.01570132,0.9879
0,0.07661503,0.9904
50,0.042183742,0.9906
100,0.004578758,0.9907
150,0.016283337,0.992
200,0.030121338,0.9901
250,0.03405005,0.9884
300,0.0070802905,0.9911
350,0.067150034,0.9902
400,0.017839864,0.9892
450,0.009480309,0.9895
0,0.031114053,0.9918
50,0.015732624,0.9913
100,0.021600388,0.9896
150,0.03632992,0.9909
200,0.059320174,0.9902
250,0.0020779185,0.9913
300,0.045580752,0.9903
350,0.027845524,0.9886
400,0.053208955,0.9867
450,0.017534927,0.9897
0,0.05667,0.9919
50,0.021549296,0.9906
100,0.014250241,0.9899
150,0.017503899,0.9912
200,0.019578252,0.9905
250,0.0044222623,0.992
300,0.021679398,0.9922
350,0.002819948,0.9922
400,0.013512839,0.9895
450,0.011826541,0.9917
